@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute neutral numeric
@attribute smile numeric
@attribute surprise numeric

@data
808,'2017/10/21 23:24:48:113',16,362.915802,324.586365,5.568574,0.069893,-0.008953,0.037314,13.829853,3.601826,7.047884,7.013949,3.296042,3.258823,23.813145,6.039177,0,1,0
809,'2017/10/21 23:24:48:183',16,363.014648,324.366364,5.562728,0.074814,-0.010674,0.039202,13.698339,3.592057,7.042354,7.003843,3.308841,3.284205,23.886169,6.027637,0,1,0
810,'2017/10/21 23:24:48:282',16,362.993042,324.227448,5.570306,0.084713,-0.008948,0.037407,13.64661,3.577908,7.111977,7.073974,3.232274,3.19852,23.927221,6.033852,0,1,0
811,'2017/10/21 23:24:48:349',16,363.039032,324.149017,5.57104,0.080381,-0.010861,0.039388,13.909863,3.573219,7.10533,7.064903,3.218455,3.191759,23.899487,6.030724,0,1,0
812,'2017/10/21 23:24:48:415',16,363.056793,323.911224,5.573171,0.088742,-0.006716,0.037012,14.005713,3.64055,7.114761,7.084694,3.209533,3.169138,23.964327,6.040851,0,1,0
813,'2017/10/21 23:24:48:516',16,363.055267,324.15094,5.565839,0.076077,-0.009004,0.040624,14.141747,3.613915,7.125016,7.083771,3.170429,3.141833,23.874119,6.057718,0,1,0
814,'2017/10/21 23:24:48:582',16,363.658295,323.871704,5.568813,0.088271,-0.010788,0.046296,14.161607,3.574569,7.173588,7.12808,3.070796,3.047831,23.947319,6.037409,0,1,0
815,'2017/10/21 23:24:48:683',16,364.138367,324.040192,5.556615,0.078222,-0.016479,0.054088,14.286646,3.592756,7.118761,7.070895,2.990728,2.98999,23.850477,6.078966,0,1,0
816,'2017/10/21 23:24:48:750',16,363.727814,323.585114,5.573475,0.095857,-0.013916,0.052752,14.471307,3.516617,7.068129,7.024528,3.070739,3.068533,23.747309,6.132325,0,1,0
817,'2017/10/21 23:24:48:850',16,359.529175,324.338898,5.585983,0.102096,0.020745,0.053734,13.727028,2.254941,7.008924,7.000286,3.166641,3.176689,23.244722,5.96339,0,1,0
818,'2017/10/21 23:24:48:916',16,351.003265,324.714355,5.584063,0.110077,0.071324,0.059849,12.699233,1.577939,7.010372,7.027643,3.106941,3.172082,22.616171,6.154499,0,1,0
819,'2017/10/21 23:24:48:983',16,340.950684,324.505005,5.584746,0.098305,0.14344,0.061481,12.706194,1.645034,6.996857,7.070713,3.006234,3.115431,23.099413,5.883897,0,1,0
820,'2017/10/21 23:24:49:084',16,334.710205,324.443207,5.569699,0.1124,0.175965,0.061936,13.205263,1.846576,6.955592,7.02225,2.933896,3.063757,22.957445,6.074098,0,1,0
821,'2017/10/21 23:24:49:150',16,335.40509,324.132477,5.595065,0.116572,0.166413,0.069225,12.717221,1.678464,6.977408,7.033124,3.024252,3.161994,23.205908,5.900282,0,1,0
822,'2017/10/21 23:24:49:249',16,343.523285,324.166138,5.597157,0.11848,0.1064,0.067511,13.198307,1.446704,6.910496,6.946044,3.162865,3.249539,22.526875,6.217927,0,1,0
823,'2017/10/21 23:24:49:300',16,357.585144,323.403625,5.592362,0.116369,0.009546,0.061683,12.478502,1.487985,6.949211,6.917327,3.235937,3.255958,22.209148,6.439953,0,1,0
824,'2017/10/21 23:24:49:398',16,373.283905,322.663605,5.581633,0.103332,-0.099403,0.048344,12.897497,1.313611,6.846832,6.776271,3.281446,3.211599,21.785175,6.811531,0,1,0
825,'2017/10/21 23:24:49:465',16,386.311188,321.922821,5.622719,0.081283,-0.170375,0.060397,12.646066,1.4324,6.864648,6.796872,3.402416,3.293495,22.140865,6.745888,0,1,0
826,'2017/10/21 23:24:49:531',16,392.804077,321.941833,5.603619,0.056696,-0.215584,0.071404,12.951294,1.717761,6.899756,6.820249,3.366615,3.255341,22.086214,6.961269,0,1,0
827,'2017/10/21 23:24:49:632',16,393.559601,321.994354,5.587153,0.050971,-0.215354,0.080169,12.352831,1.465993,6.968565,6.879373,3.292895,3.188498,22.233622,6.851141,0,1,0
828,'2017/10/21 23:24:49:698',16,391.034058,321.578705,5.592973,0.056635,-0.193615,0.079119,12.459373,1.761557,6.847823,6.789569,3.417386,3.319209,22.472084,6.642259,0,1,0
829,'2017/10/21 23:24:49:799',16,385.354706,321.067627,5.585523,0.09,-0.145411,0.069525,12.030727,1.446416,6.90593,6.859686,3.289042,3.184692,22.474201,6.418271,0,1,0
830,'2017/10/21 23:24:49:866',16,377.097443,320.365082,5.568192,0.102878,-0.091183,0.05912,12.314655,1.680551,6.953916,6.937839,3.177402,3.080229,23.040543,6.119672,0,1,0
831,'2017/10/21 23:24:49:966',16,367.641479,321.57312,5.552343,0.104182,-0.0268,0.057257,12.291355,1.426016,6.965991,6.971902,3.131954,3.092953,22.490675,6.259368,0,1,0
832,'2017/10/21 23:24:50:033',16,358.815277,321.87146,5.551929,0.089476,0.023193,0.056242,12.583466,1.799574,7.108671,7.137722,3.13812,3.139662,23.128456,5.995352,0,1,0
833,'2017/10/21 23:24:50:100',16,351.547913,321.943848,5.549857,0.081905,0.063571,0.044831,12.510689,1.837641,7.268145,7.30627,2.916099,2.952045,23.538923,5.737108,0,1,0
834,'2017/10/21 23:24:50:200',16,347.237061,322.464874,5.541365,0.076854,0.084442,0.037179,12.971052,1.828577,7.136831,7.170565,3.020753,3.060175,23.27743,5.835962,0,1,0
835,'2017/10/21 23:24:50:256',16,345.323944,321.7565,5.536895,0.080089,0.087194,0.032655,13.039384,1.807413,7.180255,7.205563,2.969035,3.023218,23.302588,5.897589,0,1,0
836,'2017/10/21 23:24:50:367',16,345.273804,322.05719,5.531295,0.074681,0.08964,0.026384,12.92934,1.800318,7.184826,7.229603,2.980545,3.016261,23.292849,5.920801,0,1,0
837,'2017/10/21 23:24:50:421',16,345.705902,321.842102,5.520629,0.069059,0.084369,0.020317,12.770542,1.7674,7.168355,7.206174,3.015197,3.044068,23.466667,5.857799,0,1,0
838,'2017/10/21 23:24:50:532',16,346.209656,322.059143,5.520922,0.067046,0.081307,0.021417,12.846721,1.790784,7.116529,7.156137,3.120993,3.147314,23.261473,6.01514,0,1,0
839,'2017/10/21 23:24:50:600',16,346.439575,321.917542,5.51553,0.063595,0.079996,0.020359,12.755654,1.742341,7.123124,7.176653,3.069258,3.097,23.322561,5.957012,0,1,0
840,'2017/10/21 23:24:50:685',16,346.975769,321.815216,5.523171,0.072018,0.07691,0.025174,12.888256,1.755676,7.130626,7.159481,3.142363,3.175462,23.292389,5.969833,0,1,0
841,'2017/10/21 23:24:50:766',16,347.304993,321.741028,5.515869,0.066282,0.074692,0.023607,12.826458,1.864161,7.142111,7.189306,3.064951,3.09742,23.357962,5.979482,0,1,0
842,'2017/10/21 23:24:50:832',16,348.319183,321.506958,5.517303,0.066252,0.071102,0.029361,12.77317,1.774557,7.129594,7.160053,3.15883,3.178361,23.466125,5.872241,0,1,0
843,'2017/10/21 23:24:50:932',16,350.041656,320.697662,5.517561,0.087469,0.058428,0.033497,12.835902,1.895607,7.171832,7.203919,3.105672,3.125932,23.52807,5.996256,0,1,0
844,'2017/10/21 23:24:50:999',16,353.05426,320.293732,5.521112,0.093363,0.04024,0.038038,12.732258,1.7475,7.223724,7.234527,3.183738,3.194983,23.679398,5.814641,0,1,0
845,'2017/10/21 23:24:51:100',16,356.890625,319.614929,5.513395,0.086332,0.014246,0.033406,13.309099,2.209781,7.211791,7.217095,3.141432,3.119987,23.704662,5.839299,0,1,0
846,'2017/10/21 23:24:51:150',16,361.279419,319.534943,5.520191,0.096654,-0.015454,0.037079,13.218714,1.942369,7.225094,7.195869,3.205128,3.171521,23.502565,6.037449,0,1,0
847,'2017/10/21 23:24:51:250',16,363.92157,319.545227,5.514461,0.083758,-0.031483,0.038229,13.009811,2.082283,7.248164,7.2168,3.124583,3.089455,23.608006,5.946711,0,1,0
